education_num,capital_gain,hours_per_week,sex,age,cluster
13,0.0,40,1,28,0
9,0.0,25,0,27,1
9,0.0,40,1,21,0
9,0.0,40,1,34,0
9,0.0,12,1,18,0
13,0.0,65,1,33,0
10,0.0,38,1,44,0
10,0.0,40,0,43,1
10,0.0,45,1,30,0
4,0.0,40,1,40,0
10,0.0,42,1,37,0
9,0.0,40,1,34,0
13,0.0,40,0,41,1
14,0.0,50,0,31,1
16,0.0,1,1,58,0
10,0.0,28,0,38,1
10,0.0,40,1,24,0
13,0.0,40,1,41,0
10,0.0,45,1,47,0
13,0.0,24,1,41,0
3,0.0,40,1,23,0
10,0.0,40,1,36,0
14,1092.8412024287468,55,0,40,2
14,1092.8412024287468,40,1,35,3
9,0.0,40,1,24,0
14,0.0,40,0,26,1
13,0.0,50,1,51,0
10,0.0,40,0,42,1
9,0.0,35,0,37,1
7,0.0,40,0,18,1
13,1092.8412024287468,36,1,36,3
9,0.0,60,1,35,0
9,1092.8412024287468,35,0,58,2
7,0.0,12,0,17,1
9,0.0,40,1,44,0
9,0.0,40,1,37,0
10,0.0,40,0,35,1
9,0.0,40,1,60,0
4,0.0,40,1,54,0
13,0.0,60,1,37,0
12,0.0,40,0,50,1
13,0.0,50,1,38,0
13,0.0,55,1,45,0
6,0.0,40,1,25,0
10,0.0,40,1,31,0
9,0.0,40,1,90,0
9,0.0,20,1,54,0
1,0.0,35,0,53,1
9,0.0,40,0,18,1
9,1092.8412024287468,50,1,66,3
11,0.0,20,0,75,1
9,0.0,40,0,65,1
7,1092.8412024287468,40,1,35,3
9,0.0,38,0,41,1
10,0.0,42,1,25,0
10,0.0,40,0,33,1
15,0.0,55,1,28,0
9,0.0,40,1,59,0
10,0.0,38,0,40,1
13,0.0,50,1,41,0
14,0.0,70,1,38,0
9,0.0,40,1,23,0
13,0.0,40,1,40,0
9,0.0,20,0,41,1
12,0.0,50,1,24,0
10,0.0,40,1,38,0
9,0.0,45,1,58,0
9,0.0,34,0,32,1
12,0.0,60,1,40,0
15,0.0,40,0,41,1
13,0.0,40,0,42,1
6,0.0,30,0,59,1
10,0.0,40,1,19,0
10,0.0,20,1,58,0
9,0.0,40,1,42,0
9,0.0,40,0,20,1
9,0.0,30,0,32,1
11,0.0,45,0,45,1
4,0.0,40,1,50,0
13,0.0,40,0,36,1
9,0.0,60,1,45,0
7,0.0,12,1,17,0
10,1092.8412024287468,40,1,59,3
7,0.0,40,1,26,0
10,0.0,75,1,37,0
9,0.0,40,1,64,0
13,0.0,45,0,33,1
9,0.0,40,0,33,1
9,0.0,40,1,61,0
5,1092.8412024287468,24,1,17,3
14,1092.8412024287468,98,1,50,3
14,0.0,35,1,27,0
9,0.0,40,0,30,1
9,0.0,40,1,43,0
10,1092.8412024287468,40,1,44,3
10,0.0,40,0,35,1
10,0.0,40,0,25,1
10,1092.8412024287468,48,0,24,2
13,0.0,15,0,22,1
10,1092.8412024287468,40,1,42,3
12,0.0,45,0,34,1
13,0.0,42,0,60,1
9,0.0,40,1,21,0
14,1092.8412024287468,40,1,57,3
15,0.0,60,1,41,0
10,0.0,45,1,50,0
13,0.0,40,0,25,1
4,0.0,40,1,50,0
13,0.0,45,1,36,0
9,0.0,40,0,31,1
13,0.0,56,1,29,0
10,0.0,45,1,21,0
13,0.0,40,0,27,1
9,0.0,16,1,65,0
13,0.0,60,0,37,1
9,0.0,40,1,24,0
9,0.0,80,1,38,0
13,1092.8412024287468,40,1,48,3
10,0.0,25,0,21,1
9,0.0,45,1,31,0
9,1092.8412024287468,40,1,55,3
10,0.0,40,0,24,1
9,0.0,40,0,43,1
12,0.0,45,1,26,0
12,0.0,33,0,46,1
12,0.0,40,1,35,0
10,0.0,54,1,41,0
13,0.0,40,1,26,0
14,1092.8412024287468,35,1,34,3
13,0.0,40,0,36,1
10,0.0,15,1,22,0
10,0.0,40,1,24,0
10,0.0,40,1,77,0
3,0.0,40,0,22,1
10,0.0,40,0,29,1
9,0.0,24,0,62,1
9,0.0,40,1,39,0
10,0.0,50,1,43,0
9,0.0,45,1,35,0
7,0.0,40,0,29,1
14,0.0,10,1,76,0
9,0.0,45,1,63,0
10,0.0,50,0,43,1
9,0.0,40,1,58,0
9,1092.8412024287468,55,1,66,3
10,0.0,45,1,41,0
13,0.0,40,1,26,0
11,0.0,40,1,47,0
6,0.0,40,1,55,0
9,0.0,40,1,53,0
3,0.0,48,1,17,0
9,0.0,40,1,30,0
14,0.0,60,1,49,0
9,0.0,30,1,19,0
9,0.0,40,1,45,0
12,0.0,40,1,26,0
11,1092.8412024287468,40,1,38,3
9,1092.8412024287468,40,1,36,3
9,0.0,20,1,33,0
10,0.0,40,0,22,1
13,0.0,42,1,43,0
12,0.0,25,1,56,0
13,0.0,25,1,31,0
13,0.0,40,1,33,0
9,0.0,40,1,26,0
13,0.0,40,1,33,0
7,0.0,30,1,46,0
9,0.0,40,1,38,0
7,0.0,40,1,65,0
11,0.0,40,1,40,0
9,0.0,35,0,42,1
5,0.0,40,1,26,0
6,0.0,24,0,36,1
14,0.0,40,1,62,0
13,0.0,45,1,43,0
13,0.0,45,1,43,0
9,0.0,55,1,22,0
9,0.0,40,1,28,0
10,0.0,45,1,56,0
12,0.0,15,0,22,1
13,0.0,45,0,57,1
9,0.0,40,0,39,1
10,0.0,15,0,26,1
7,0.0,10,1,17,0
11,0.0,38,1,40,0
9,0.0,40,1,45,0
9,0.0,40,1,44,0
10,0.0,10,0,20,1
9,0.0,40,0,33,1
10,0.0,40,1,23,0
14,0.0,30,1,46,0
9,0.0,50,1,38,0
9,0.0,40,1,54,0
3,0.0,45,0,46,1
10,0.0,40,1,25,0
10,0.0,40,0,46,1
10,0.0,40,0,36,1
9,0.0,25,0,23,1
9,0.0,40,1,29,0
10,0.0,6,0,44,1
10,0.0,16,0,19,1
9,0.0,40,0,19,1
9,0.0,40,0,35,1
13,0.0,50,1,27,0
12,0.0,40,1,46,0
9,0.0,35,0,34,1
10,0.0,40,1,44,0
10,0.0,40,0,45,1
13,0.0,55,1,25,0
13,0.0,50,1,52,0
10,0.0,40,1,20,0
10,0.0,40,0,28,1
13,0.0,40,1,50,0
11,0.0,64,0,34,1
4,0.0,40,1,28,0
14,0.0,65,1,41,0
9,0.0,40,1,28,0
9,0.0,25,1,46,0
10,0.0,50,1,32,0
10,0.0,24,0,41,1
9,0.0,40,0,24,1
10,0.0,40,0,33,1
16,1092.8412024287468,60,1,46,3
10,0.0,40,1,31,0
8,0.0,50,1,35,0
2,0.0,40,1,52,0
7,0.0,19,0,30,1
7,0.0,40,1,34,0
9,0.0,40,0,34,1
10,0.0,30,1,20,0
7,1092.8412024287468,18,1,17,3
13,0.0,40,0,32,1
9,0.0,40,1,29,0
6,0.0,35,0,33,1
9,0.0,60,1,25,0
14,0.0,40,1,36,0
9,0.0,72,1,23,0
9,0.0,40,1,63,0
14,0.0,40,1,47,0
13,1092.8412024287468,40,0,40,2
12,0.0,25,0,30,1
10,0.0,40,1,27,0
14,0.0,50,1,33,0
9,1092.8412024287468,60,1,34,3
10,0.0,40,0,34,1
10,0.0,40,1,23,0
10,0.0,40,0,42,1
13,0.0,40,1,29,0
9,0.0,28,0,45,1
9,0.0,40,1,24,0
10,0.0,40,1,44,0
5,0.0,40,1,27,0
10,0.0,35,1,20,0
9,0.0,40,0,44,1
9,0.0,40,1,51,0
9,0.0,40,1,20,0
9,0.0,40,0,19,1
10,0.0,55,1,45,0
9,0.0,40,1,60,0
9,0.0,40,0,44,1
11,0.0,40,1,40,0
9,0.0,40,0,30,1
10,0.0,50,1,38,0
9,0.0,60,1,23,0
12,0.0,40,1,44,0
9,0.0,40,1,54,0
13,0.0,50,1,32,0
2,0.0,40,1,50,0
13,0.0,20,0,24,1
9,0.0,60,0,37,1
9,0.0,40,1,52,0
10,0.0,40,1,38,0
14,0.0,45,1,49,0
13,0.0,16,0,30,1
10,0.0,40,1,60,0
9,0.0,40,1,35,0
9,0.0,60,1,30,0
11,0.0,24,0,67,1
13,0.0,40,0,46,1
5,0.0,6,1,17,0
10,0.0,30,1,22,0
6,0.0,40,1,27,0
9,0.0,35,0,23,1
12,0.0,45,1,33,0
10,0.0,20,1,43,0
13,0.0,20,1,28,0
9,0.0,40,0,41,1
10,0.0,20,0,25,1
9,0.0,45,1,59,0
13,0.0,40,0,45,1
13,1092.8412024287468,60,1,38,3
9,0.0,35,0,40,1
9,0.0,40,1,46,0
12,0.0,60,0,35,1
9,0.0,25,0,34,1
13,0.0,20,1,33,0
9,0.0,36,0,41,1
10,0.0,40,1,20,0
3,0.0,40,1,23,0
10,0.0,35,0,26,1
9,0.0,40,1,23,0
9,0.0,40,1,62,0
10,0.0,40,1,52,0
10,0.0,42,0,58,1
13,0.0,40,0,25,1
13,0.0,40,1,24,0
10,0.0,8,1,19,0
10,0.0,40,1,43,0
9,0.0,40,0,47,1
9,0.0,40,0,39,1
11,0.0,42,1,49,0
11,0.0,45,1,32,0
10,0.0,50,1,34,0
9,0.0,45,1,28,0
10,0.0,20,0,25,1
13,0.0,50,1,34,0
13,1092.8412024287468,80,1,38,3
9,1092.8412024287468,50,1,50,3
10,0.0,50,1,24,0
10,0.0,45,1,37,0
10,0.0,58,1,44,0
10,0.0,40,0,28,1
13,0.0,40,1,42,0
10,0.0,9,0,74,1
9,0.0,50,1,38,0
14,0.0,40,1,44,0
7,0.0,46,0,44,1
9,0.0,40,1,26,0
9,0.0,40,1,36,0
12,0.0,50,0,41,1
15,1092.8412024287468,48,1,67,3
8,0.0,50,1,39,0
2,0.0,30,0,57,1
11,0.0,40,1,29,0
13,0.0,45,0,31,1
10,0.0,40,1,44,0
16,0.0,40,1,29,0
10,0.0,40,0,30,1
9,0.0,40,1,27,0
10,0.0,50,1,27,0
9,0.0,45,0,32,1
6,0.0,8,0,58,1
10,0.0,40,1,35,0
9,0.0,36,1,21,0
10,0.0,40,1,28,0
10,0.0,50,1,46,0
9,0.0,40,0,36,1
7,0.0,40,0,72,1
9,0.0,40,0,35,1
11,0.0,40,0,33,1
7,0.0,40,0,69,1
9,0.0,40,1,35,0
9,0.0,32,0,34,1
7,0.0,40,1,30,0
13,0.0,55,1,28,0
13,0.0,35,1,54,0
10,0.0,50,1,47,0
9,0.0,40,0,24,1
13,0.0,60,1,52,0
9,0.0,48,1,20,0
14,1092.8412024287468,45,1,43,3
4,0.0,40,0,45,1
9,0.0,35,1,29,0
14,0.0,42,1,47,0
9,0.0,40,1,24,0
9,0.0,40,1,51,0
7,0.0,12,1,17,0
11,0.0,40,1,37,0
16,0.0,70,0,27,1
13,0.0,40,1,29,0
12,0.0,35,0,36,1
13,0.0,40,0,58,1
10,0.0,45,1,26,0
9,0.0,40,1,57,0
9,0.0,40,1,59,0
9,0.0,40,1,27,0
13,0.0,40,1,31,0
10,0.0,24,0,21,1
10,0.0,60,1,29,0
7,0.0,40,1,18,0
6,0.0,47,1,52,0
13,0.0,80,1,57,0
4,0.0,48,1,60,0
13,1092.8412024287468,40,1,31,3
13,0.0,40,0,23,1
9,0.0,40,1,27,0
15,0.0,50,1,42,0
10,1092.8412024287468,40,1,25,3
13,0.0,45,0,49,1
13,0.0,40,1,32,0
10,0.0,28,1,19,0
4,0.0,40,0,60,1
5,0.0,40,1,42,0
12,0.0,40,1,35,0
9,0.0,37,0,48,1
14,0.0,40,1,51,0
9,0.0,40,1,29,0
9,0.0,40,1,36,0
6,0.0,21,0,17,1
14,1092.8412024287468,60,0,52,2
9,0.0,40,1,24,0
9,0.0,50,1,24,0
13,1092.8412024287468,40,1,26,3
13,0.0,20,0,27,1
9,0.0,60,1,39,0
9,0.0,45,1,30,0
9,0.0,32,1,50,0
13,0.0,55,1,52,0
15,1092.8412024287468,45,1,46,3
13,0.0,20,0,23,1
7,0.0,20,0,45,1
5,0.0,24,0,65,1
11,0.0,55,1,29,0
5,0.0,40,1,47,0
9,0.0,60,1,30,0
9,0.0,45,1,34,0
9,0.0,64,1,38,0
10,0.0,40,1,33,0
13,0.0,26,1,49,0
10,0.0,40,0,47,1
6,0.0,40,0,49,1
10,1092.8412024287468,60,1,43,3
13,0.0,40,0,30,1
9,0.0,60,1,58,0
9,0.0,14,0,19,1
13,0.0,40,1,21,0
13,1092.8412024287468,60,1,33,3
3,0.0,50,1,47,0
16,0.0,60,1,52,0
9,0.0,55,1,26,0
9,0.0,40,1,60,0
10,0.0,40,1,21,0
10,1092.8412024287468,50,1,36,3
10,0.0,45,1,31,0
16,0.0,40,1,50,0
9,0.0,40,0,31,1
9,0.0,15,1,71,0
13,0.0,40,1,30,0
10,0.0,20,1,20,0
9,1092.8412024287468,50,1,24,3
16,0.0,40,1,35,0
10,0.0,45,0,38,1
9,0.0,32,0,27,1
10,0.0,40,0,29,1
9,0.0,45,1,34,0
4,0.0,35,1,44,0
9,0.0,40,1,43,0
8,0.0,40,1,44,0
14,0.0,60,1,35,0
10,0.0,40,1,27,0
14,0.0,38,1,43,0
10,0.0,25,0,20,1
12,1092.8412024287468,40,0,42,2
10,1092.8412024287468,40,1,27,3
9,0.0,40,1,42,0
5,0.0,40,1,24,0
10,0.0,40,1,48,0
7,0.0,10,1,17,0
13,0.0,40,1,33,0
9,0.0,50,1,50,0
9,1092.8412024287468,40,0,22,2
8,0.0,16,1,17,0
10,0.0,40,1,32,0
9,0.0,45,1,31,0
9,0.0,50,1,58,0
9,0.0,48,1,29,0
11,0.0,40,1,37,0
9,0.0,40,1,34,0
10,0.0,40,1,23,0
7,0.0,5,0,18,1
9,0.0,40,0,34,1
13,0.0,55,0,45,1
14,0.0,35,1,41,0
9,0.0,30,1,26,0
10,0.0,40,1,54,0
10,0.0,45,0,24,1
10,0.0,50,1,42,0
10,0.0,20,1,20,0
13,0.0,20,0,23,1
14,0.0,60,1,35,0
14,0.0,40,1,31,0
13,0.0,40,0,30,1
9,0.0,20,0,19,1
13,0.0,50,1,36,0
13,0.0,40,0,31,1
10,0.0,30,1,21,0
10,0.0,40,1,31,0
16,1092.8412024287468,65,0,46,2
13,0.0,50,0,44,1
8,0.0,40,1,40,0
10,0.0,40,1,45,0
9,0.0,35,1,60,0
7,0.0,25,1,18,0
13,0.0,40,1,28,0
10,0.0,40,0,36,1
11,1092.8412024287468,40,1,40,3
13,0.0,35,0,36,1
9,0.0,40,0,31,1
9,0.0,40,1,33,0
9,0.0,40,0,19,1
10,0.0,15,0,22,1
13,0.0,45,1,34,0
9,0.0,40,1,33,0
9,0.0,60,1,41,0
13,1092.8412024287468,40,1,29,3
9,0.0,42,1,50,0
13,1092.8412024287468,45,1,42,3
9,0.0,40,0,44,1
10,0.0,20,0,20,1
9,0.0,40,1,31,0
10,0.0,24,0,23,1
10,0.0,40,0,55,1
11,0.0,45,1,26,0
11,0.0,15,0,25,1
10,1092.8412024287468,40,1,35,3
10,0.0,36,0,36,1
13,0.0,50,1,43,0
9,1092.8412024287468,20,0,56,2
13,0.0,40,1,42,0
10,0.0,25,0,19,1
9,0.0,72,1,55,0
14,1092.8412024287468,50,0,42,2
11,0.0,40,1,26,0
8,0.0,20,1,17,0
13,0.0,40,0,42,1
9,1092.8412024287468,40,1,55,3
10,0.0,40,0,32,1
7,0.0,40,1,29,0
13,0.0,37,1,46,0
13,1092.8412024287468,40,1,29,3
13,0.0,20,1,22,0
6,0.0,40,1,58,0
9,0.0,50,1,23,0
9,0.0,40,1,39,0
11,0.0,38,1,27,0
9,0.0,40,1,54,0
13,0.0,45,0,33,1
9,0.0,40,0,46,1
9,0.0,40,1,37,0
9,0.0,18,0,36,1
9,0.0,38,0,59,1
9,0.0,40,1,34,0
16,0.0,70,1,53,0
13,0.0,55,1,51,0
6,0.0,42,0,32,1
10,0.0,40,1,31,0
10,0.0,30,0,22,1
13,0.0,50,0,47,1
9,0.0,40,1,32,0
10,0.0,38,0,26,1
3,0.0,32,1,37,0
9,0.0,55,1,31,0
11,0.0,24,0,37,1
9,0.0,38,1,55,0
11,0.0,56,1,23,0
10,0.0,40,0,36,1
13,0.0,50,1,43,0
10,0.0,40,1,54,0
11,0.0,42,0,28,1
11,0.0,50,1,40,0
10,0.0,60,1,41,0
13,0.0,55,0,40,1
10,0.0,38,0,42,1
9,0.0,50,1,61,0
8,0.0,30,1,18,0
11,0.0,50,1,48,0
13,0.0,40,1,41,0
9,1092.8412024287468,40,0,23,2
9,0.0,60,1,60,0
10,0.0,20,1,22,0
9,0.0,40,1,61,0
9,0.0,40,1,25,0
14,0.0,35,1,46,0
13,0.0,40,1,43,0
12,0.0,40,1,43,0
9,0.0,30,1,24,0
7,0.0,20,1,68,0
9,0.0,38,0,31,1
7,0.0,20,0,17,1
9,1092.8412024287468,48,1,32,3
13,1092.8412024287468,47,1,33,3
13,0.0,40,1,64,0
9,0.0,30,1,20,0
9,0.0,36,0,30,1
10,0.0,45,1,43,0
10,0.0,40,1,22,0
6,0.0,20,1,17,0
9,0.0,75,0,47,1
11,0.0,60,0,41,1
10,0.0,50,1,56,0
9,0.0,45,1,64,0
9,0.0,50,1,47,0
11,0.0,40,1,48,0
14,0.0,46,0,31,1
11,0.0,40,1,29,0
9,0.0,40,0,30,1
9,0.0,60,1,32,0
9,0.0,42,1,57,0
9,0.0,40,0,62,1
9,0.0,24,0,39,1
10,0.0,25,1,43,0
13,0.0,40,1,24,0
10,1092.8412024287468,40,0,53,2
10,0.0,40,1,26,0
9,0.0,40,1,73,0
9,0.0,40,1,55,0
9,0.0,40,1,25,0
13,0.0,50,0,41,1
13,0.0,50,1,24,0
9,0.0,6,1,63,0
7,0.0,20,1,17,0
10,0.0,50,1,35,0
10,0.0,40,1,51,0
13,0.0,48,0,62,1
9,1092.8412024287468,40,1,55,3
10,0.0,40,1,43,0
9,0.0,50,0,40,1
13,0.0,45,1,37,0
13,0.0,40,1,39,0
9,0.0,18,1,31,0
14,0.0,40,0,61,1
11,0.0,55,0,26,1
9,0.0,50,1,46,0
13,0.0,40,0,26,1
16,0.0,50,1,48,0
9,0.0,40,1,34,0
9,0.0,40,0,34,1
9,0.0,40,1,59,0
13,0.0,40,0,34,1
13,0.0,56,0,49,1
7,0.0,20,0,18,1
9,0.0,40,1,43,0
7,0.0,50,1,48,0
10,0.0,70,1,28,0
9,0.0,40,1,33,0
10,0.0,15,0,24,1
6,0.0,40,1,21,0
7,0.0,28,1,17,0
10,0.0,50,1,39,0
13,0.0,40,1,29,0
13,0.0,40,1,44,0
10,0.0,50,1,24,0
14,1092.8412024287468,40,1,71,3
13,0.0,40,1,51,0
3,0.0,25,1,55,0
13,0.0,60,1,41,0
9,0.0,7,0,23,1
11,0.0,40,0,38,1
9,0.0,40,1,39,0
9,0.0,30,0,19,1
5,0.0,40,0,49,1
13,0.0,40,1,32,0
9,0.0,70,1,27,0
13,0.0,50,1,38,0
10,0.0,60,0,33,1
13,0.0,28,1,23,0
9,0.0,40,1,54,0
11,1092.8412024287468,45,0,29,2
13,0.0,40,1,35,0
11,0.0,40,0,28,1
13,1092.8412024287468,50,1,37,3
15,0.0,65,1,42,0
14,0.0,40,1,40,0
10,0.0,55,1,47,0
13,0.0,50,0,22,1
13,0.0,45,1,30,0
9,0.0,40,1,28,0
4,0.0,55,1,63,0
5,0.0,20,1,51,0
9,0.0,40,0,22,1
9,0.0,45,1,35,0
9,0.0,38,0,46,1
10,0.0,52,1,37,0
13,0.0,15,1,24,0
9,0.0,10,1,37,0
10,0.0,40,1,53,0
9,0.0,30,1,27,0
10,0.0,44,1,38,0
6,0.0,60,1,53,0
10,0.0,40,1,34,0
9,0.0,40,1,23,0
13,1092.8412024287468,45,1,39,3
14,0.0,50,0,43,1
9,0.0,40,1,67,0
9,0.0,30,1,81,0
10,0.0,20,1,21,0
10,0.0,25,1,23,0
10,0.0,40,1,25,0
3,0.0,38,0,42,1
10,0.0,40,0,38,1
9,0.0,40,1,32,0
9,0.0,40,1,37,0
14,0.0,60,1,51,0
10,0.0,42,0,22,1
2,0.0,40,0,33,1
9,0.0,55,1,42,0
1,0.0,40,1,51,0
9,0.0,40,0,23,1
7,1092.8412024287468,44,1,37,3
9,0.0,99,1,37,0
14,0.0,25,0,47,1
15,0.0,40,1,41,0
9,0.0,30,1,33,0
13,0.0,40,1,31,0
12,0.0,40,0,31,1
9,0.0,40,1,35,0
9,0.0,40,1,38,0
9,0.0,45,0,18,1
9,0.0,40,1,20,0
10,0.0,35,0,54,1
10,0.0,40,0,40,1
13,0.0,45,0,36,1
10,0.0,35,1,43,0
10,0.0,40,1,44,0
9,0.0,40,0,44,1
14,0.0,43,1,43,0
4,0.0,40,0,51,1
9,0.0,20,0,18,1
10,0.0,40,1,51,0
10,0.0,70,1,44,0
6,0.0,40,1,33,0
13,0.0,40,1,33,0
12,0.0,40,1,42,0
10,0.0,45,1,25,0
9,0.0,38,0,32,1
13,0.0,70,1,32,0
6,0.0,40,0,36,1
9,0.0,40,1,28,0
9,0.0,20,0,20,1
10,0.0,60,1,35,0
9,0.0,20,1,55,0
13,0.0,40,1,48,0
9,0.0,35,1,34,0
13,0.0,35,0,28,1
13,0.0,40,1,67,0
9,0.0,40,1,37,0
9,0.0,70,1,44,0
10,0.0,40,0,25,1
10,1092.8412024287468,40,0,21,2
14,0.0,35,1,40,0
9,1092.8412024287468,40,0,78,2
9,0.0,40,1,34,0
9,0.0,44,0,49,1
12,0.0,40,0,22,1
9,0.0,42,1,60,0
9,0.0,40,1,45,0
11,0.0,20,0,63,1
9,0.0,35,0,41,1
9,0.0,40,0,47,1
9,0.0,40,1,44,0
10,1092.8412024287468,40,0,51,2
13,0.0,40,1,46,0
11,0.0,40,1,41,0
9,0.0,30,1,50,0
9,0.0,50,1,47,0
9,0.0,45,1,35,0
9,0.0,55,1,56,0
14,0.0,45,1,45,0
13,0.0,58,1,48,0
10,1092.8412024287468,40,1,40,3
13,1092.8412024287468,50,1,39,3
10,0.0,40,1,20,0
16,0.0,65,1,50,0
9,0.0,40,0,38,1
13,0.0,60,0,23,1
9,0.0,16,1,31,0
13,0.0,40,1,58,0
9,0.0,40,1,66,0
9,0.0,40,1,39,0
9,1092.8412024287468,52,1,54,3
10,0.0,50,1,26,0
9,0.0,40,0,51,1
11,0.0,40,1,34,0
9,1092.8412024287468,40,1,50,3
10,0.0,44,1,42,0
14,0.0,25,1,38,0
4,0.0,40,1,48,0
11,0.0,40,0,33,1
9,0.0,32,0,51,1
9,0.0,40,1,22,0
10,0.0,50,1,41,0
14,0.0,35,1,48,0
9,0.0,30,0,42,1
10,0.0,40,1,34,0
9,0.0,40,0,23,1
9,0.0,50,1,56,0
9,0.0,55,1,45,0
6,0.0,40,0,48,1
14,0.0,50,1,48,0
11,0.0,40,0,31,1
12,0.0,20,1,20,0
10,0.0,40,1,27,0
9,0.0,40,0,32,1
9,0.0,75,1,37,0
9,0.0,30,0,34,1
9,0.0,40,0,90,1
10,0.0,40,0,23,1
10,0.0,40,0,43,1
13,1092.8412024287468,60,1,44,3
10,0.0,37,0,24,1
15,0.0,55,1,28,0
10,0.0,40,1,23,0
10,0.0,50,0,20,1
13,0.0,50,1,36,0
9,0.0,40,1,61,0
13,0.0,40,1,53,0
13,1092.8412024287468,40,1,30,3
